Your Input	Gene	Public Name	Status	Sequence Name	Other Name	Transcript	WormPep	Uniprot	TreeFam	RefSeq_mRNA	RefSeq_protein	RNAi Phenotype Observed	RNAi Phenotype Not Observed	Allele Phenotype Observed	Allele Phenotype Not Observed	Expr_pattern Tissue	Genomic Study Tissue	Expr_pattern LifeStage	Genomic Study LifeStage	Public Name	Disease Info	Human Ortholog	Description Type	Description Text
mans-2	WBGene00008258	mans-2	Live	C52E4.5	CELE_C52E4.5	C52E4.5a,C52E4.5b,C52E4.5b,C52E4.5a.1,C52E4.5a.2	CE08947,CE45297	Q18788	TF313420	NM_001269460.1,NM_001269459.1	NP_001256388.1,NP_001256389.1	N.A.	embryonic lethal,extended life span,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	lethal	N.A.	germ line,intestine	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	mans-2	N.A.	ENSG00000198162|ParaSite-Compara;Inparanoid_8;Panther,ENSG00000117643|ParaSite-Compara;Panther,ENSG00000111885|ParaSite-Compara;Panther	Concise_description	mans-2 is an ortholog of human MAN1A1 (mannosidase, alpha1A, member 1), MAN1C1 (mannosidase, alpha1C, member 1) and MAN1A2 (mannosidase, alpha1A, member 2); mans-2 has a calcium ion dependent mannosyl-oligosaccharide 1,2-alpha-mannosidase activity, based on enzymatic assay, with Man6GlcNAc2 as a final product.
C52D10.3	WBGene00016877	C52D10.3	Live	C52D10.3	CELE_C52D10.3	C52D10.3a,C52D10.3b,C52D10.3:wp114,C52D10.3:wp158,C52D10.3:wp247,C52D10.3a,C52D10.3b	CE50642,CE50635	A0A0K3AXD0,A0A0K3AV18	N.A.	NM_001313023.1,NM_001313022.1	NP_001299951.1,NP_001299952.1	sick	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,nicotine response variant,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	intestine,NSM,pharyngeal muscle cell	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,adult male Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	C52D10.3	N.A.	N.A.	Automated_description	Microarray and RNA sequencing studies indicate that C52D10.3 is regulated by Methylmercuric chloride, Rotenone, Tunicamycin, D-glucose, Bisphenol A, Cry5B, Hydrolyzable Tannins, Humic substances, Dafa#1, and Sirolimus; tiling array studies indicate that C52D10.3 is enriched in the intestine and pharyngeal muscle cell and in the NSM neurons.
ZK896.1	WBGene00014132	ZK896.1	Live	ZK896.1	CELE_ZK896.1	ZK896.1,ZK896.1:wp164,ZK896.1	CE40434	O02341	TF316078	NM_070051.2	NP_502452.2	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,embryo Ce,L1 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce	ZK896.1	N.A.	ENSG00000143819|Panther	Automated_description	ZK896.1 is an ortholog of human EPHX1 (epoxide hydrolase 1); microarray, tiling array, and RNA sequencing studies indicate that ZK896.1 is regulated by lin-15B, hpl-2, nhr-8, blmp-1, prg-1, glp-1, elt-2, npr-1, jmjd-3.1, hyl-2, hsf-1, rbr-2, mir-60, set-25, met-2, dpy-21, sir-2.1, spg-7, lin-35, and eat-2; RNA sequencing and microarray studies indicate that ZK896.1 is regulated by Methylmercury hydroxide, Tunicamycin, D-glucose, Atrazine, Fluoranthene, Cry5B, Humic substances, Colistin, and Sirolimus; RNA sequencing studies indicate that ZK896.1 is enriched in the Z4.aapppap (5L) nucleus.
unc-89	WBGene00006820	unc-89	Live	C09D1.1	phm-1,CELE_C09D1.1	C09D1.1a,C09D1.1b,C09D1.1c,C09D1.1d,C09D1.1e,C09D1.1f,C09D1.1g,C09D1.1e,C09D1.1a,C09D1.1f,C09D1.1b,C09D1.1g,C09D1.1d,C09D1.1c	CE30426,CE34251,CE34252,CE37701,CE37702,CE37703,CE37704	O01761	TF331962	NM_001025813.1,NM_001306524.1,NM_001025818.1,NM_001025814.2,NM_001306525.1,NM_001025817.2,NM_001025819.1	NP_001020989.1,NP_001020990.1,NP_001020988.1,NP_001293453.1,NP_001293454.1,NP_001020985.1,NP_001020984.1	body wall muscle myosin organization defective,body wall muscle sarcomere morphology variant,dumpy,egg laying defective,locomotion reduced,locomotion variant,mitochondria morphology variant,muscle system morphology variant,nicotine hypersensitive	embryonic lethal,exploded through vulva,growth rate variant,larval arrest,larval lethal,lethal,locomotion reduced,maternal sterile,mitochondria morphology variant,organism morphology variant,postembryonic development variant,protein aggregation variant,protein degradation variant,protruding vulva,roller,slow growth,sterile,sterile progeny,transgene subcellular localization variant,Variant	amplitude of sinusoidal movement variant,backward locomotion variant,backward point velocity decreased,body posture amplitude decreased,body posture wavelength decreased,body wall muscle myosin organization defective,body wall muscle sarcomere morphology variant,clear,coiling frequency decreased,forward locomotion decreased,forward point velocity decreased,frequency of body bend variant,gland cell morphology variant,head bend angle decreased,head bend angle variant,M line absent,muscle birefringence variant,nose movement variant,path curvature increased,Pausing increased,pharyngeal contraction defective,pharyngeal muscle morphology variant,pharyngeal pumping shallow,short,small,sperm pseudopod variant,starved,tail bend angle variant,thin,turning frequency variant	bacterially unswollen,egg laying variant,lethal,movement variant,pharyngeal morphology variant	anal depressor muscle,anal sphincter muscle,body wall musculature,gonad,intestinal muscle,pharyngeal muscle cell,pharynx,tail,vulval muscle	body wall musculature,dorsal nerve cord,germ line,muscle cell,nerve ring,OLL,PVD,somatic neuron,tail neuron,ventral nerve cord,vulval muscle	adult Ce,larva Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,11-15 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce,oocyte-laying stage adult hermaphrodite Ce	unc-89	N.A.	ENSG00000176834|Panther	Concise_description	unc-89 encodes several protein isoforms variably characterized by the presence or absence of SH3, DH, PH, immunoglobulin and myosin light chain kinase (MLCK)-like protein kinase domains; during development, unc-89 is required for proper organization of A bands in striated muscle and thus for fully normal locomotion, pharyngeal muscle contractions, and body size; unc-89 is expressed in body wall muscle, pharyngeal muscle and some cells in the tail; UNC-89 protein isoforms localize to the middle of A-bands, consistent with UNC-89 being an M line component; UNC-89 interacts with the SCPL-1 phosphatase both in vitro and in vivo.
ZK896.4	WBGene00014135	ZK896.4	Live	ZK896.4	CELE_ZK896.4	ZK896.4,ZK896.4	CE15455	Q9XUA9	TF316078	NM_070053.1	NP_502454.1	N.A.	embryonic lethal,germ cell ionizing radiation response variant,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	intestine,Z4.aapppap (5L) nucleus	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	ZK896.4	N.A.	ENSG00000143819|Panther	Automated_description	ZK896.4 is an ortholog of human EPHX1 (epoxide hydrolase 1); microarray and RNA sequencing studies indicate that ZK896.4 is regulated by Methylmercuric chloride, D-glucopyranose, Sodium arsenite, Cry5B, Chlorpyrifos, Diazinon, Humic substances, Sirolimus, and Ag nanoparticles; tiling array and RNA sequencing studies indicate that ZK896.4 is enriched in the intestine and Z4.aapppap (5L) nucleus.
Y47H10A.4	WBGene00012960	Y47H10A.4	Live	Y47H10A.4	CELE_Y47H10A.4	Y47H10A.4,Y47H10A.4	CE24377	Q9U2B5	TF321332	NM_060654.4	NP_493055.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	body wall muscle cell,DA neuron,I5 neuron,muscle cell,retrovesicular ganglion,SAB,VA neuron	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	Y47H10A.4	N.A.	N.A.	Automated_description	Microarray, RNA sequencing, and tiling array studies indicate that Y47H10A.4 is regulated by cyc-1, lin-39, hpl-2, tdp-1, htz-1, cco-1, jmjd-1.2, hsf-1, dpy-21, and spr-5; microarray studies indicate that Y47H10A.4 is regulated by Atrazine; tiling array and microarray studies indicate that Y47H10A.4 is enriched in the body wall muscle cell and muscle cell and in the I5, DA, SAB, and retrovesicular ganglion.
mltn-12	WBGene00008277	mltn-12	Live	C53B4.8	CELE_C53B4.8	C53B4.8,C53B4.8a:wp201,C53B4.8b:wp201,C53B4.8b:wp242,C53B4.8	CE43562	G5EG70	N.A.	NM_001047465.2	NP_001040930.2	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	hypodermis,intestine	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	mltn-12	N.A.	N.A.	Automated_description	RNA sequencing and microarray studies indicate that mltn-12 is regulated by Methylmercury hydroxide, Tunicamycin, Multi-walled carbon nanotubes, Selenium, Colistin, and Sirolimus; tiling array and microarray studies indicate that mltn-12 is enriched in the hypodermis and intestine.
test-1	WBGene00016918	test-1	Live	C54E4.2	CELE_C54E4.2	C54E4.2a,C54E4.2b,C54E4.2c,C54E4.2b,C54E4.2a.1,C54E4.2a.2,C54E4.2c.1,C54E4.2c.2	CE20611,CE33576,CE48553	H2KZF8,O44466,U4PLP4	TF317779	NM_001307382.1,NM_001027928.3,NM_001027927.3	NP_001023098.1,NP_001294311.1,NP_001023099.1	N.A.	basement membrane gap expansion variant,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	body wall musculature,germ line,muscle cell	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	test-1	N.A.	ENSG00000107742|ParaSite-Compara;Inparanoid_8,ENSG00000196104|ParaSite-Compara;Inparanoid_8,ENSG00000152377|ParaSite-Compara;Inparanoid_8	Automated_description	test-1 is an ortholog of human SPOCK2 (SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2), SPOCK3 (SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3) and SPOCK1 (SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1); test-1 is predicted to have calcium ion binding activity, based on protein domain information.
ugt-26	WBGene00015695	ugt-26	Live	C10H11.6	CELE_C10H11.6	C10H11.6a,C10H11.6b,C10H11.6:wp188,C10H11.6a,C10H11.6b	CE30597,CE42349	B1Q250,H2KYQ0	TF352368	NM_059034.5,NM_001128946.1	NP_491435.2,NP_001122418.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	coelomocyte,germ line,male-specific	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	ugt-26	N.A.	ENSG00000168671|Inparanoid_8,ENSG00000145626|Inparanoid_8	Automated_description	ugt-26 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-26 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information.
C55A6.4	WBGene00008333	C55A6.4	Live	C55A6.4	CELE_C55A6.4	C55A6.4,C55A6.4	CE09001	P90779	TF314888	NM_073521.5	NP_505922.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germ line,hypodermis,intestine	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4 larva male Ce,larva Ce	C55A6.4	N.A.	N.A.	Automated_description	Microarray and RNA sequencing studies indicate that C55A6.4 is regulated by Tunicamycin, Bisphenol A, Juglone, Acrylamide, Diazinon, Cry5B, Humic substances, Paraquat, and Ag nanoparticles; tiling array, RNA sequencing, and microarray studies indicate that C55A6.4 is enriched in the hypodermis, germ line, male, and intestine.
D1054.9	WBGene00008376	D1054.9	Live	D1054.9	CELE_D1054.9	D1054.9a,D1054.9b,D1054.9c,D1054.9d,D1054.9e,D1054.9f,D1054.9g,D1054.9h,D1054.9i,D1054.9a:wp141,D1054.9a:wp194,D1054.9a:wp229,D1054.9b:wp141,D1054.9b:wp194,D1054.9b:wp229,D1054.9c:wp194,D1054.9d:wp194,D1054.9d:wp229,D1054.9e:wp194,D1054.9e:wp229,D1054.9g,D1054.9b,D1054.9d,D1054.9a,D1054.9h,D1054.9e,D1054.9i,D1054.9c,D1054.9f	CE46815,CE46738,CE42994,CE46776,CE46601,CE47248,CE47322,CE47342,CE47106	H9G2X5,Q18951,Q9XVV1,H9G2X4,Q564Z7,Q564Z6,H9G2X7,Q8I4L9,H9G2X6	N.A.	NM_001028575.3,NM_001269325.1,NM_182396.4,NM_001269326.1,NM_001269323.1,NM_073355.4,NM_001028574.3,NM_001269324.1,NM_073356.5	NP_001256255.1,NP_001023745.3,NP_001023746.3,NP_001256252.1,NP_505756.4,NP_872196.2,NP_001256254.1,NP_505757.4,NP_001256253.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	GABAergic neuron,pharynx	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	D1054.9	N.A.	N.A.	Automated_description	Microarray and RNA sequencing studies indicate that D1054.9 is regulated by cyc-1, nhr-114, emr-1, lem-2, bar-1, ubc-9, csr-1, glp-1, skn-1, sir-2.1, ain-1, mir-243, crh-1, tax-6, isp-1, nuo-6, oga-1, ogt-1, and pmk-1; RNA sequencing and microarray studies indicate that D1054.9 is regulated by 1-methylnicotinamide, Manganese chloride, D-glucose, Resveratrol, Colistin, and Sirolimus; microarray studies indicate that D1054.9 is enriched in the pharynx and in the GABAergic neurons.
ugt-44	WBGene00008486	ugt-44	Live	F01D4.2	CELE_F01D4.2	F01D4.2,F01D4.2	CE09154	O17757	TF352368	NM_069532.4	NP_501933.1	transgene expression increased	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germ line,intestine,OLL,PVD,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	ugt-44	N.A.	ENSG00000168671|Inparanoid_8,ENSG00000145626|Inparanoid_8	Automated_description	ugt-44 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-44 is involved in innate immune response; ugt-44 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information.
abhd-3.2	WBGene00016644	abhd-3.2	Live	C44C1.5	CELE_C44C1.5	C44C1.5a,C44C1.5b,C44C1.5b.1,C44C1.5b.2,C44C1.5a.1,C44C1.5a.2	CE04215,CE33918	G8JY22,Q18610	TF313195	NM_001029288.3,NM_001029287.3	NP_001024459.1,NP_001024458.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germ line,intestine,OLL,PVD	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	abhd-3.2	N.A.	ENSG00000143994|ParaSite-Compara;Inparanoid_8;Panther,ENSG00000158201|ParaSite-Compara;Inparanoid_8;Panther	Automated_description	abhd-3.2 is an ortholog of human ABHD1 (abhydrolase domain containing 1) and ABHD3 (abhydrolase domain containing 3); microarray studies indicate that abhd-3.2 is regulated by Tunicamycin, Atrazine, Fluoranthene, Cry5B, Chlorpyrifos, Diazinon, Humic substances, and R24; tiling array, RNA sequencing, and microarray studies indicate that abhd-3.2 is enriched in the intestine and germ line and in the PVD and OLL neurons.
cox-17	WBGene00018240	cox-17	Live	F40G9.2	CELE_F40G9.2	F40G9.2,F40G9.2	CE19849	Q9TZ68	TF105074	NM_064774.4	NP_497175.1	N.A.	embryonic development variant,embryonic lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,Variant	N.A.	N.A.	body region,body wall musculature,intestine,reproductive system,vulva	body wall muscle cell,germ line,intestine	adult Ce,larva Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	cox-17	N.A.	ENSG00000138495|Inparanoid_8;Panther	Automated_description	cox-17 is an ortholog of human COX17 (COX17, cytochrome c oxidase copper chaperone); cox-17 is predicted to have copper chaperone activity, based on protein domain information; cox-17 is expressed in the body region, reproductive system, and the body wall musculature.
E02C12.8	WBGene00017093	E02C12.8	Live	E02C12.8	CELE_E02C12.8	E02C12.8b,E02C12.8c,E02C12.8:wp90,E02C12.8a:wp243,E02C12.8c:wp243,E02C12.8a,E02C12.8d,E02C12.8b,E02C12.8c.1,E02C12.8c.2	CE32850,CE49979	H2KZK3,H2KZK2	TF316533	NR_131696.1,NM_073027.5,NM_001028591.2,NR_131695.1	NP_001023762.2,NP_505428.2	dauer constitutive	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	E02C12.8	N.A.	N.A.	Automated_description	Microarray and RNA sequencing studies indicate that E02C12.8 is regulated by clk-1, atfs-1, spg-7, emr-1, lem-2, prg-1, mdt-15, swsn-2.2, npr-1, jmjd-3.1, hsf-1, let-418, chd-3, ain-1, zip-2, ash-2, tax-6, tdp-1, isp-1, and nuo-6; microarray and RNA sequencing studies indicate that E02C12.8 is regulated by Methylmercuric chloride, Mianserin, D-glucopyranose, Humic substances, R24, adsorbable organic bromine compounds, Sirolimus, and Allantoin.
cdh-5	WBGene00000397	cdh-5	Live	F08B4.2	CELE_F08B4.2	F08B4.2a,F08B4.2b,F08B4.2c,F08B4.2d,F08B4.2a:wp242,F08B4.2b,F08B4.2c,F08B4.2d,F08B4.2a	CE49671,CE29253,CE49722,CE49688	X5M8R9,Q19194,X5M5L3,H2KZC7	TF352004	NM_069085.2,NM_001307097.1,NM_001307096.1,NM_069086.3	NP_001294025.1,NP_501486.2,NP_501487.1,NP_001294026.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	anchor cell invasion variant	N.A.	germ line,intestine,pharynx	N.A.	1-day post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4 larva male Ce	cdh-5	N.A.	ENSG00000150275|Inparanoid_8,ENSG00000156453|Panther,ENSG00000280165|Panther,ENSG00000169851|Panther,ENSG00000124215|Panther,ENSG00000184226|Panther,ENSG00000102290|Panther,ENSG00000099715|Panther	Concise_description	a homolog of cadherin.
